"x"
"Mac & Ernie's Tarpley Texas yelp"
"Brint's Diner Wichita Kansas yelp"
"Mad Greek's Diner Baker California yelp"
"Pizza Palace Knoxville Tennessee yelp"
"Hullabaloo Diner Wellborn Texas yelp"
"Four Kegs Sports Pub Las Vegas Nevada yelp"
"Patrick's Roadhouse Santa Monica California yelp"
"Frosted Mug Alsip Illinois yelp"
"The Penguin Charlotte North Carolina yelp"
"Frank's Diner Kenosha Wisconsin yelp"
"Gaffey Street Diner San Pedro California yelp"
"The Coffee Cup Boulder City Nevada yelp"
"Baby Blues BBQ Venice California yelp"
"Louie Mueller BBQ Taylor Texas yelp"
"Barbecue King Drive-In Charlotte North Carolina yelp"
"Eveready Diner Hyde Park New York yelp"
"Leo's BBQ Oklahoma City Oklahoma yelp"
"A1 Diner Gardiner Maine yelp"
"Triple XXX Restaurant West Lafayette Indiana yelp"
"Hackney's Glenview Illinois yelp"
"Squeeze Inn Sacramento California yelp"
"Red Arrow Diner Manchester New Hampshire yelp"
"Hank's Creekside Restaurant Santa Rosa California yelp"
"Voula's Offshore Café Seattle Washington yelp"
"Southside Soda Shop and Diner Goshen Indiana yelp"
"Taylor's Automatic Refresher St. Helena California yelp"
"Byways Café Portland Oregon yelp"
"Big Star Diner Bainbridge Island Washington yelp"
"Harold's Café Gaffney South Carolina yelp"
"Mo Gridder's BBQ Bronx New York yelp"
"Kelly's Diner Somerville Massachusetts yelp"
"Bay Way Diner Linden New Jersey yelp"
"Beacon Drive-In Spartanburg South Carolina yelp"
"Rosie's Diner Rockford Michigan yelp"
"Dari-ette Drive-In St. Paul Minnesota yelp"
"The Russian River Pub Forestville California yelp"
"Al's Breakfast Minneapolis Minnesota yelp"
"Falafel's Drive-In San Jose California yelp"
"Ramona Café Ramona California yelp"
"Silk City Diner Philadelphia Pennsylvania yelp"
"Emma Jean's Holland Burger Café Victorville California yelp"
"The Rock Café Stroud Oklahoma yelp"
"Café on the Route Baxter Springs Kansas yelp"
"Evelyn's Drive-In Tiverton Rhode Island yelp"
"Hodad's Ocean Beach California yelp"
"Keegan's Seafood Grille Indian Rocks Beach Florida yelp"
"Clanton's Café Vinita Oklahoma yelp"
"Mike's Chili Parlor Seattle Washington yelp"
"Duarte's Tavern Pescadero California yelp"
"Bobby's Hawaiian Style Restaurant Everett Washington yelp"
"Ted Peters Famous Smoked Fish South Pasadena Florida yelp"
"Psycho Suzie's Motor Lounge Minneapolis Minnesota yelp"
"Jay Bee's Bar-B-Que Gardena California yelp"
"Smoque Chicago Illinois yelp"
"BBQ Shack Paola Kansas yelp"
"Mike's City Diner Boston Massachusetts yelp"
"Willie Bird's Restaurant Santa Rosa California yelp"
"Alpine Steakhouse Sarasota Florida yelp"
"JT Farnham's Seafood & Grill Essex Massachusetts yelp"
"Joe's Gizzard City Potterville Michigan yelp"
"Grubstake Diner San Francisco California yelp"
"Los Tapatios San Jose California yelp"
"El Indio San Diego California yelp"
"Charlie's Diner Spencer Massachusetts yelp"
"Paradise Pup Des Plaines Illinois yelp"
"Studio Diner San Diego California yelp"
"White Palace Grill Chicago Illinois yelp"
"The Dining Car Philadelphia Pennsylvania yelp"
"Schooner or Later Long Beach California yelp"
"Grinders Pizza Kansas City Missouri yelp"
"The Fly Trap Ferndale Michigan yelp"
"Galewood Cook Shack Chicago Illinois yelp"
"Joe's Cable Car San Francisco California yelp"
"The Nook St. Paul Minnesota yelp"
"Krazy Jim's Blimpy Burger Ann Arbor Michigan yelp"
"Mustache Bill's Barnegat Light New Jersey yelp"
"Tick Tock Diner Clifton New Jersey yelp"
"White Manna Hamburgers Hackensack New Jersey yelp"
"The Ritz Diner Livingston New Jersey yelp"
"Hightstown Diner Hightstown New Jersey yelp"
"Skylark Diner Edison New Jersey yelp"
"Jefferson Diner Lake Hopatcong New Jersey yelp"
"Brownstone Diner Jersey City New Jersey yelp"
"39th Street Mama's Kansas City Missouri yelp"
"Matt's Big Breakfast Phoenix Arizona yelp"
"Roberto's Mexican Food Phoenix Arizona yelp"
"Smokey Valley Truck Stop Olive Hill Kentucky yelp"
"Sweetie Pie's St. Louis Missouri yelp"
"Charlie Parker's Springfield Illinois yelp"
"Tecolote Café Santa Fe New Mexico yelp"
"Virginia Diner Wakefield Virginia yelp"
"Thee Pitts Again Silverton Colorado yelp"
"Iron Barley St. Louis Missouri yelp"
"Daddypops Hatboro Pennsylvania yelp"
"The Village Café Richmond Virginia yelp"
"Chino Bandido Phoenix Arizona yelp"
"Marietta Diner Marietta Georgia yelp"
"YJ's Snack Bar Kansas City Missouri yelp"
"Scully's Tavern Miami Florida yelp"
"Dot's Back Inn Richmond Virginia yelp"
"Hillbilly Hot Dogs Lesage West Virginia yelp"
"11th Street Diner Miami Beach Florida yelp"
"Bobo Drive-In Topeka Kansas yelp"
"Little Tea Shop Memphis Tennessee yelp"
"Panini Pete's Fairhope Alabama yelp"
"Joe's Farm Grill Gilbert Arizona yelp"
"Maria's Taco Express Austin Texas yelp"
"Cozy Corner Memphis Tennessee yelp"
"Leonard's BBQ Memphis Tennessee yelp"
"Marlowe's Ribs Memphis Tennessee yelp"
"Tom's Bar-B-Q Memphis Tennessee yelp"
"Grampa's Bakery & Restaurant Dania Beach Florida yelp"
"Blue Moon Café Baltimore Maryland yelp"
"Central City Cafe Huntington West Virginia yelp"
"Tip Top Café San Antonio Texas yelp"
"Matthews Cafeteria Tucker Georgia yelp"
"The Rivershack Tavern Jefferson Louisiana yelp"
"Monte Carlo Steak House Albuquerque New Mexico yelp"
"The Joint New Orleans Louisiana yelp"
"The Shed Ocean Springs Mississippi yelp"
"Texas Pride BBQ Adkins Texas yelp"
"Benny's Seafood Restaurant South Miami Florida yelp"
"Chaps Pit Beef Baltimore Maryland yelp"
"Burger Bar Roy Utah yelp"
"Doumar's Norfolk Virginia yelp"
"Aunt Lena's Creamery Chandler Arizona yelp"
"The Creole Creamery New Orleans Louisiana yelp"
"Town Talk Diner Minneapolis Minnesota yelp"
"Blue Plate Diner Salt Lake City Utah yelp"
"Broadway Diner Baltimore Maryland yelp"
"The Highlander Atlanta Georgia yelp"
"Gumbo Shack Fairhope Alabama yelp"
"Starlite Lounge Blawnox Pennsylvania yelp"
"The Wienery Minneapolis Minnesota yelp"
"Casino El Camino Austin Texas yelp"
"G&A Restaurant Baltimore Maryland yelp"
"Uncle Lou's Memphis Tennessee yelp"
"Captain Chuck A Mucks Rescue Virginia yelp"
"Dixie Quicks Omaha Nebraska yelp"
"Cabbage Town Market Atlanta Georgia yelp"
"The Cove San Antonio Texas yelp"
"Bryant-Lake Bowl Minneapolis Minnesota yelp"
"Jamaica Kitchen Kendale Lakes Florida yelp"
"Crystal Restaurant Pittsburgh Pennsylvania yelp"
"Red Iguana Salt Lake City Utah yelp"
"Colonnade Atlanta Georgia yelp"
"Manci's Antique Club Daphne Alabama yelp"
"Amato's Omaha Nebraska yelp"
"Darwell's Café Long Beach Mississippi yelp"
"Brick Oven Pizza Baltimore Maryland yelp"
"Victor's 1959 Café Minneapolis Minnesota yelp"
"Nadine's Restaurant Pittsburgh Pennsylvania yelp"
"Casamento's Restaurant New Orleans Louisiana yelp"
"Big Mama's Kitchen & Catering Omaha Nebraska yelp"
"Moochie's Meatballs & More Salt Lake City Utah yelp"
"Cemitas Puebla Chicago Illinois yelp"
"Tioli's Crazee Burger San Diego California yelp"
"Donatelli's White Bear Lake Minnesota yelp"
"Stoney Creek Inn Baltimore Maryland yelp"
"Alcenia's Memphis Tennessee yelp"
"Lone Star Taqueria Salt Lake City Utah yelp"
"Modern Café Minneapolis Minnesota yelp"
"Brewburger's Omaha Nebraska yelp"
"Surrey’s Café New Orleans Louisiana yelp"
"Harry’s Roadhouse Santa Fe New Mexico yelp"
"Dor-Stop Restaurant Pittsburgh Pennsylvania yelp"
"LoBello’s Spaghetti House Coraopolis Pennsylvania yelp"
"Di Pasquale’s Baltimore Maryland yelp"
"Pizzeria Luigi San Diego California yelp"
"Sophia’s Place Albuquerque New Mexico yelp"
"Magnolia Café Austin Texas yelp"
"Glenn’s Diner Chicago Illinois yelp"
"Ruth’s Diner Salt Lake City Utah yelp"
