"Episode","Title","Restaurant","Location","Original Air Date"
13,"The New Jersey Diner Tour","Hightstown Diner","Hightstown, New Jersey","January 28, 2008"
13,"The New Jersey Diner Tour","Skylark Diner","Edison, New Jersey","January 28, 2008"
13,"The New Jersey Diner Tour","Jefferson Diner","Lake Hopatcong, New Jersey","January 28, 2008"
1,"Big Breakfast","Brownstone Diner","Jersey City, New Jersey","March 10, 2008"
1,"Big Breakfast","39th Street Mama's","Kansas City, Missouri","March 10, 2008"
1,"Big Breakfast","Matt's Big Breakfast","Phoenix, Arizona","March 10, 2008"
2,"Like Mamma Made","Roberto's Mexican Food","Phoenix, Arizona","March 17, 2008"
2,"Like Mamma Made","Smokey Valley Truck Stop","Olive Hill, Kentucky","March 17, 2008"
2,"Like Mamma Made","Sweetie Pie's","St. Louis, Missouri","March 17, 2008"
3,"Regional Favorites","Charlie Parker's","Springfield, Illinois","March 24, 2008"
3,"Regional Favorites","Tecolote Café","Santa Fe, New Mexico","March 24, 2008"
3,"Regional Favorites","Virginia Diner","Wakefield, Virginia","March 24, 2008"
4,"Neighborhood Joints","Thee Pitts Again","Silverton, Colorado","March 31, 2008"
4,"Neighborhood Joints","Iron Barley","St. Louis, Missouri","March 31, 2008"
4,"Neighborhood Joints","Daddypops","Hatboro, Pennsylvania","March 31, 2008"
4,"Neighborhood Joints","The Village Café","Richmond, Virginia","March 31, 2008"
5,"A World of Flavors","Chino Bandido","Phoenix, Arizona","April 7, 2008"
5,"A World of Flavors","Marietta Diner","Marietta, Georgia","April 7, 2008"
5,"A World of Flavors","YJ's Snack Bar","Kansas City, Missouri","April 7, 2008"
6,"Something Different","Scully's Tavern","Miami, Florida","April 14, 2008"
6,"Something Different","Dot's Back Inn","Richmond, Virginia","April 14, 2008"
6,"Something Different","Hillbilly Hot Dogs","Lesage, West Virginia","April 14, 2008"
7,"American Classics","11th Street Diner","Miami Beach, Florida","May 18, 2008"
7,"American Classics","Bobo Drive-In","Topeka, Kansas","May 18, 2008"
7,"American Classics","Little Tea Shop","Memphis, Tennessee","May 18, 2008"
8,"Real Deal Fast Food","Panini Pete's","Fairhope, Alabama","May 19, 2008"
8,"Real Deal Fast Food","Joe's Farm Grill","Gilbert, Arizona","May 19, 2008"
8,"Real Deal Fast Food","Maria's Taco Express","Austin, Texas","May 19, 2008"
9,"The Memphis BBQ Tour","Cozy Corner","Memphis, Tennessee","May 26, 2008"
9,"The Memphis BBQ Tour","Leonard's BBQ","Memphis, Tennessee","May 26, 2008"
9,"The Memphis BBQ Tour","Marlowe's Ribs","Memphis, Tennessee","May 26, 2008"
9,"The Memphis BBQ Tour","Tom's Bar-B-Q","Memphis, Tennessee","May 26, 2008"
10,"Comfort Food","Grampa's Bakery & Restaurant","Dania Beach, Florida","June 15, 2008"
10,"Comfort Food","Blue Moon Café","Baltimore, Maryland","June 15, 2008"
10,"Comfort Food","Central City Cafe","Huntington, West Virginia","June 15, 2008"
10,"Comfort Food","Tip Top Café","San Antonio, Texas","June 15, 2008"
11,"Where The Locals Go","Matthews Cafeteria","Tucker, Georgia","June 23, 2008"
11,"Where The Locals Go","The Rivershack Tavern","Jefferson, Louisiana","June 23, 2008"
11,"Where The Locals Go","Monte Carlo Steak House","Albuquerque, New Mexico","June 23, 2008"
12,"All Kinds of BBQ","The Joint","New Orleans, Louisiana","June 30, 2008"
12,"All Kinds of BBQ","The Shed","Ocean Springs, Mississippi","June 30, 2008"
12,"All Kinds of BBQ","Texas Pride BBQ","Adkins, Texas","June 30, 2008"
13,"In the Family","Benny's Seafood Restaurant","South Miami, Florida","July 7, 2008"
13,"In the Family","Chaps Pit Beef","Baltimore, Maryland","July 7, 2008"
13,"In the Family","Burger Bar","Roy, Utah","July 7, 2008"
1,"Brain Freeze","Doumar's","Norfolk, Virginia","July 14, 2008"
1,"Brain Freeze","Aunt Lena's Creamery","Chandler, Arizona","July 14, 2008"
1,"Brain Freeze","The Creole Creamery","New Orleans, Louisiana","July 14, 2008"
2,"Diners You Sent Me To","Town Talk Diner","Minneapolis, Minnesota","July 21, 2008"
2,"Diners You Sent Me To","Blue Plate Diner","Salt Lake City, Utah","July 21, 2008"
2,"Diners You Sent Me To","Broadway Diner","Baltimore, Maryland","July 21, 2008"
3,"Bar Food","The Highlander","Atlanta, Georgia","July 28, 2008"
3,"Bar Food","Gumbo Shack","Fairhope, Alabama","July 28, 2008"
3,"Bar Food","Starlite Lounge","Blawnox, Pennsylvania","July 28, 2008"
4,"Burgers and Dogs","The Wienery","Minneapolis, Minnesota","August 4, 2008"
4,"Burgers and Dogs","Casino El Camino","Austin, Texas","August 4, 2008"
4,"Burgers and Dogs","G&A Restaurant","Baltimore, Maryland","August 4, 2008"
5,"Where the Locals Eat","Uncle Lou's","Memphis, Tennessee","August 11, 2008"
5,"Where the Locals Eat","Captain Chuck A Mucks","Rescue, Virginia","August 11, 2008"
5,"Where the Locals Eat","Dixie Quicks","Omaha, Nebraska","August 11, 2008"
6,"Totally Unexpected","Cabbage Town Market","Atlanta, Georgia","August 18, 2008"
6,"Totally Unexpected","The Cove","San Antonio, Texas","August 18, 2008"
6,"Totally Unexpected","Bryant-Lake Bowl","Minneapolis, Minnesota","August 18, 2008"
7,"A Taste of Everywhere","Jamaica Kitchen","Kendale Lakes, Florida","September 15, 2008"
7,"A Taste of Everywhere","Crystal Restaurant","Pittsburgh, Pennsylvania","September 15, 2008"
7,"A Taste of Everywhere","Red Iguana","Salt Lake City, Utah","September 15, 2008"
8,"Better Than Ever","Colonnade","Atlanta, Georgia","September 22, 2008"
8,"Better Than Ever","Manci's Antique Club","Daphne, Alabama","September 22, 2008"
8,"Better Than Ever","Amato's","Omaha, Nebraska","September 22, 2008"
9,"Big Flavor","Darwell's Café","Long Beach, Mississippi","September 29, 2008"
9,"Big Flavor","Brick Oven Pizza","Baltimore, Maryland","September 29, 2008"
9,"Big Flavor","Victor's 1959 Café","Minneapolis, Minnesota","September 29, 2008"
