"Episode","Title","Restaurant","Location","Original Air Date"
5,"Porkapalooza","Virgil’s Café","Bellevue, Kentucky","May 24, 2010"
5,"Porkapalooza","Martin’s Bar-B-Que Joint","Nolensville, Tennessee","May 24, 2010"
6,"Grilled, Smoked & Sauced","Terry’s Turf Club","Cincinnati, Ohio","May 31, 2010"
6,"Grilled, Smoked & Sauced","Schellville Grille","Sonoma, California","May 31, 2010"
6,"Grilled, Smoked & Sauced","Jake’s Good Eats","Charlotte, North Carolina","May 31, 2010"
7,"Comfort Food With Attitude","Jax At The Trax","Truckee, California","June 7, 2010"
7,"Comfort Food With Attitude","Culhane’s Irish Pub","Atlantic Beach, Florida","June 7, 2010"
7,"Comfort Food With Attitude","Blue Ash Chili Restaurant","Cincinnati, Ohio","June 7, 2010"
8,"Fast Food Their Way","Don Chow Tacos","Los Angeles, California","June 21, 2010"
8,"Fast Food Their Way","Rainbow Drive-In","Honolulu, Hawaii","June 21, 2010"
8,"Fast Food Their Way","Northern Waters Smokehaus","Duluth, Minnesota","June 21, 2010"
9,"Farm To Table","Blackwater Grill","St. Simons Island, Georgia","June 28, 2010"
9,"Farm To Table","Comet Ping Pong","Washington D.C.","June 28, 2010"
9,"Farm To Table","Wallace Station","Versailles, Kentucky","June 28, 2010"
10,"Kansas City Barbeque Tour","Smokin’ Guns BBQ","North Kansas City, Missouri","July 12, 2010"
10,"Kansas City Barbeque Tour","RJ’s Bob-Be-Que Shack","Mission, Kansas","July 12, 2010"
10,"Kansas City Barbeque Tour","Johnny’s Bar-B-Q","Mission, Kansas","July 12, 2010"
10,"Kansas City Barbeque Tour","Woodyard Bar-B-Que","Kansas City, Kansas","July 12, 2010"
11,"Burgers ‘n More","Swagger Fine Spirits & Food","Kansas City, Missouri","July 19, 2010"
11,"Burgers ‘n More","Burger Me!","Truckee, California","July 19, 2010"
11,"Burgers ‘n More","Athens Family Restaurant","Nashville, Tennessee","July 19, 2010"
12,"You Called It","Paul’s Coffee Shop","Fountain Valley, California","July 26, 2010"
12,"You Called It","Rick’s White Light Diner","Frankfort, Kentucky","July 26, 2010"
12,"You Called It","Gordy’s Hi-Hat","Cloquet, Minnesota","July 26, 2010"
13,"Old Time Attitude","Arnold’s Country Kitchen","Nashville, Tennessee","August 9, 2010"
13,"Old Time Attitude","Southern Soul Barbeque","St. Simons Island, Georgia","August 9, 2010"
13,"Old Time Attitude","Maine Diner","Wells, Maine","August 9, 2010"
1,"Family Joints","Kramarczuk’s","Minneapolis, Minnesota","August 30, 2010"
1,"Family Joints","Happy Gillis Café & Hangout","Kansas City, Missouri","August 30, 2010"
1,"Family Joints","Hillbilly Hot Dogs","Lesage, West Virginia","August 30, 2010"
2,"Tried and True","Mama Cozza’s","Anaheim, California","September 9, 2010"
2,"Tried and True","Tune In Restaurant","Washington D.C.","September 9, 2010"
2,"Tried and True","Bob’s Clam Hut","Kittery, Maine","September 9, 2010"
3,"Timeless","Greek Corner Restaurant","Cambridge, Massachusetts","September 13, 2010"
3,"Timeless","Bro’s Cajun Cuisine","Nashville, Tennessee","September 13, 2010"
3,"Timeless","The General Store","Silver Spring, Maryland","September 13, 2010"
4,"You Found ‘Em","Parkette Drive In","Lexington, Kentucky","September 20, 2010"
4,"You Found ‘Em","Metro Diner","Jacksonville, Florida","September 20, 2010"
4,"You Found ‘Em","Al’s Breakfast","Minneapolis, Minnesota","September 20, 2010"
5,"Wings, Dogs and Claws","The Lobster Shanty","Salem, Massachusetts","September 27, 2010"
5,"Wings, Dogs and Claws","The Brick","Kansas City, Missouri","September 27, 2010"
5,"Wings, Dogs and Claws","Oohh’s & Aahh’s Gourmet Deli","Washington D.C.","September 27, 2010"
6,"Sauced and Spiced","J.J. McBrewster’s","Lexington, Kentucky","October 4, 2010"
6,"Sauced and Spiced","At Sara’s Table Chester Creek Café","Duluth, Minnesota","October 4, 2010"
6,"Sauced and Spiced","Café Rakka","Hendersonville, Tennessee","October 4, 2010"
7,"Made to Order","Rino’s Place","East Boston, Massachusetts","October 25, 2010"
7,"Made to Order","The Blue Door Pub","St. Paul, Minnesota","October 25, 2010"
7,"Made to Order","Bay Way Diner","Linden, New Jersey","October 25, 2010"
8,"Fresh, Filled and Fried","Chaps Coffee Co.","Spokane, Washington","November 1, 2010"
8,"Fresh, Filled and Fried","Good Dog Bar & Restaurant","Philadelphia, Pennsylvania","November 1, 2010"
8,"Fresh, Filled and Fried","Porthole Restaurant","Portland, Maine","November 1, 2010"
9,"Gone Global","LaCaraquena","Falls Church, Virginia","November 8, 2010"
9,"Gone Global","Savarino’s Cucina","Nashville, Tennessee","November 8, 2010"
9,"Gone Global","Brats Brothers","Sherman Oaks, California","November 8, 2010"
10,"A Triple D Thanksgiving","George’s Place","Cape May, New Jersey","November 15, 2010"
10,"A Triple D Thanksgiving","Becky’s Diner","Portland, Maine","November 15, 2010"
10,"A Triple D Thanksgiving","Sammy’s Food Service & Deli","New Orleans, Louisiana","November 15, 2010"
11,"Sweet ‘n Savory","Meal Ticket","Berkeley, California","November 26, 2010"
11,"Sweet ‘n Savory","Metro 29 Diner","Arlington, Virginia","November 26, 2010"
11,"Sweet ‘n Savory","Duluth Grill","Duluth, Minnesota","November 26, 2010"
12,"Wings ‘n Things","10th Avenue Burrito","Belmar, New Jersey","December 13, 2010"
12,"Wings ‘n Things","Capone’s Pub","Coeur d’Alene, Idaho","December 13, 2010"
12,"Wings ‘n Things","Jamaicaway","Nashville, Tennessee","December 13, 2010"
13,"Sandwiches Plus","Elk Public House","Spokane, Washington","December 18, 2010"
13,"Sandwiches Plus","Colossal Café","Minneapolis, Minnesota","December 18, 2010"
13,"Sandwiches Plus","Maui’s Dog House","Wildwood, New Jersey","December 18, 2010"
1,"From Pork to Tofu","Tortilla Café","Washington D.C.","January 3, 2011"
1,"From Pork to Tofu","Memphis Taproom","Philadelphia, Pennsylvania","January 3, 2011"
1,"From Pork to Tofu","The Golden Bear","Sacramento, California","January 3, 2011"
2,"Po’ Boys, Pasta & Pork","Mahoney’s Po-Boy Shop","New Orleans, Louisiana","January 10, 2011"
2,"Po’ Boys, Pasta & Pork","Hill’s Restaurant & Lounge","Spokane, Washington","January 10, 2011"
2,"Po’ Boys, Pasta & Pork","Q Fanatic BBQ","Champlin, Minnesota","January 10, 2011"
3,"Funky Finds","Sage General Store","Queens, New York","January 17, 2011"
3,"Funky Finds","Quahog’s Seafood Shack","Stone Harbor, New Jersey","January 17, 2011"
3,"Funky Finds","W.O.W. - Worth Our Weight","Santa Rosa, California","January 17, 2011"
4,"Quirky Classics","Louie & The Red Head Lady","Mandeville, Louisiana","January 24, 2011"
4,"Quirky Classics","Honey’s Sit-N-Eat","Philadelphia, Pennsylvania","January 24, 2011"
4,"Quirky Classics","Picabu Neighborhood Bistro","Spokane, Washington","January 24, 2011"
5,"A Little Twisted","The Pit Stop","Merrick, New York","January 31, 2011"
5,"A Little Twisted","Gatsby’s Diner","Sacramento, California","January 31, 2011"
5,"A Little Twisted","Anchor Bar","Superior, Wisconsin","January 31, 2011"
6,"Signature Sandwiches","La Pines Café","Slidell, Louisiana","February 7, 2011"
6,"Signature Sandwiches","Steuben’s Food Service","Denver, Colorado","February 7, 2011"
6,"Signature Sandwiches","3 Sisters Café","Indianapolis, Indiana","February 7, 2011"
7,"Favorites With A Twist","Jimmy’s Down the Street","Coeur d’Alene, Idaho","February 28, 2011"
7,"Favorites With A Twist","Aunt Mary’s Café","Oakland, California","February 28, 2011"
7,"Favorites With A Twist","Corey’s Catsup & Mustard","Manchester, Connecticut","February 28, 2011"
8,"Soup & Sandwiches","Pineville Tavern","Pineville, Pennsylvania","March 7, 2011"
8,"Soup & Sandwiches","Indy’s Historic Steer-In Restaurant","Indianapolis, Indiana","March 7, 2011"
8,"Soup & Sandwiches","Dad’s Kitchen","Sacramento, California","March 7, 2011"
9,"From Crepes to Kreplach","Ben’s Best Deli","Queens, New York","March 14, 2011"
9,"From Crepes to Kreplach","Foolish Craig’s Café","Boulder, Colorado","March 14, 2011"
9,"From Crepes to Kreplach","Waddell’s Pub & Grille","Spokane, Washington","March 14, 2011"
10,"Fully Loaded","Katie’s Restaurant","New Orleans, Louisiana","March 21, 2011"
10,"Fully Loaded","Jersey Café","Carmel, Indiana","March 21, 2011"
10,"Fully Loaded","Merritt Canteen Inc.","Bridgeport, Connecticut","March 21, 2011"
11,"From Mozz to Matzo Balls","Sunflower Café","Sonoma, California","March 28, 2011"
11,"From Mozz to Matzo Balls","Hildebrandt’s","Williston Park, New York","March 28, 2011"
11,"From Mozz to Matzo Balls","The Bagel Delicatessen & Restaurant","Denver, Colorado","March 28, 2011"
12,"Signature Twists","The Barking Dog","Indianapolis, Indiana","April 4, 2011"
12,"Signature Twists","Putah Creek Café","Winters, California","April 4, 2011"
12,"Signature Twists","The Old Coffee Pot Restaurant","New Orleans, Louisiana","April 4, 2011"
13,"Porktastic","Jimtown Store","Healdsburg, California","April 11, 2011"
13,"Porktastic","Dough Pizzeria Napoletana","San Antonio, Texas","April 11, 2011"
13,"Porktastic","Sam’s No. 3","Denver, Colorado","April 11, 2011"
1,"Bar Food and Bon Bons","The Sparrow Tavern","Queens, New York","May 9, 2011"
1,"Bar Food and Bon Bons","Catelli’s","Geyserville, California","May 9, 2011"
1,"Bar Food and Bon Bons","Zest","Indianapolis, Indiana","May 9, 2011"
2,"From Kraut to Couscous","Lauer-Krauts","Brighton, Colorado","May 16, 2011"
2,"From Kraut to Couscous","Moroccan Bites","San Antonio, Texas","May 16, 2011"
2,"From Kraut to Couscous","California Tacos To Go","Tampa, Florida","May 16, 2011"
3,"You Can Only Get It Here","HRD Coffee Shop","San Francisco, California","May 23, 2011"
3,"You Can Only Get It Here","The Tamale Place","Indianapolis, Indiana","May 23, 2011"
3,"You Can Only Get It Here","Garifuna Flava","Chicago, Illinois","May 23, 2011"
4,"Grillin’ and Smokin’","Bun ‘N Barrel","San Antonio, Texas","September 12, 2011"
4,"Grillin’ and Smokin’","Tocabe American Indian Eatery","Denver, Colorado","September 12, 2011"
4,"Grillin’ and Smokin’","Munch’s Restaurant & Sundries","St. Petersburg, Florida","September 12, 2011"
5,"Southern Flavor","Broken Record","San Francisco, California","September 19, 2011"
5,"Southern Flavor","Bang!","Denver, Colorado","September 19, 2011"
5,"Southern Flavor","Jose’s Real Cuban Food","Bradenton, Florida","September 19, 2011"
6,"Gettin’ Fresh","The Sink","Boulder, Colorado","September 26, 2011"
6,"Gettin’ Fresh","Nana Organic","Chicago, Illinois","September 26, 2011"
6,"Gettin’ Fresh","Get Fresh Café","Norfolk, Virginia","September 26, 2011"
7,"Homemade & Homebrewed","Tampa Bay Brewing Co.","Tampa, Florida","October 3, 2011"
7,"Homemade & Homebrewed","Zydeco’s","Mooresville, Indiana","October 3, 2011"
7,"Homemade & Homebrewed","Chilam Balam","Chicago, Illinois","October 3, 2011"
8,"Latin Street Food","Irazu","Chicago, Illinois","October 10, 2011"
8,"Latin Street Food","Beto’s Comida Latina","San Antonio, Texas","October 10, 2011"
8,"Latin Street Food","Tortilleria Nixtamal","Queens, New York","October 10, 2011"
9,"Slammin' Sammies","Taco Taco Mexican Restaurant","San Antonio, Texas","October 17, 2011"
9,"Slammin' Sammies","Whitner's Barbeque","Virginia Beach, Virginia","October 17, 2011"
9,"Slammin' Sammies","DMK Burger Bar","Chicago, Illinois","October 17, 2011"
10,"Global Comfort","Rigoletto Italian Bakery & Café","Virginia Beach, Virginia","October 24, 2011"
10,"Global Comfort","Chuck’s Southern Comforts Café","Burbank, Illinois","October 24, 2011"
10,"Global Comfort","El Bohio","San Antonio, Texas","October 24, 2011"
11,"Breakfast, Lunch & Dinner","Magnolia Pancake Haus","San Antonio, Texas","October 31, 2011"
11,"Breakfast, Lunch & Dinner","Taco Bus","Tampa, Florida","October 31, 2011"
11,"Breakfast, Lunch & Dinner","Beach Pub","Virginia Beach, Virginia","October 31, 2011"
12,"Pizza, Pancakes & Pork","Supino Pizzeria","Detroit, Michigan","November 7, 2011"
12,"Pizza, Pancakes & Pork","Big & Littles","Chicago, Illinois","November 7, 2011"
12,"Pizza, Pancakes & Pork","Citrus Breakfast & Lunch","Virginia Beach, Virginia","November 7, 2011"
13,"Old to New","Polish Village Café","Hamtramck, Michigan","November 21, 2011"
13,"Old to New","Leaping Lizards Café","Virginia Beach, Virginia","November 21, 2011"
13,"Old to New","Jethros Fine Grub","Vancouver, British Columbia","November 21, 2011"
1,"Seafood & Sammies","Fresh Local Wild","Vancouver, British Columbia","November 28, 2011"
1,"Seafood & Sammies","Traffic Jam & Snug","Detroit, Michigan","November 28, 2011"
1,"Seafood & Sammies","Panozzo's Italian Market","Chicago, Illinois","November 28, 2011"
2,"Coast to Coast Classics","Tomahawk Restaurant","North Vancouver, British Columbia","December 5, 2011"
2,"Coast to Coast Classics","Danny's All American Diner","Tampa, Florida","December 5, 2011"
3,"Kid Rock's Detroit Tour","Clarkston Union Bar & Kitchen","Clarkston, Michigan","December 12, 2011"
3,"Kid Rock's Detroit Tour","Union Woodshop","Clarkston, Michigan","December 12, 2011"
3,"Kid Rock's Detroit Tour","Michigan Brewing Co.","Webberville, Michigan","December 12, 2011"
4,"Southern Staples","Red Wagon Café","Vancouver, British Columbia","December 19, 2011"
4,"Southern Staples","Perfectly Franks","Summerville, South Carolina","December 19, 2011"
4,"Southern Staples","Mama's Food Shop","Manhattan, New York","December 19, 2011"
5,"Scratch Made Classics","Lito's Mexican Restaurant","Santa Barbara, California","December 26, 2011"
5,"Scratch Made Classics","Save On Meats","Vancouver, British Columbia","December 26, 2011"
5,"Scratch Made Classics","The Redhead","Manhattan, New York","December 26, 2011"
6,"Meat Madness","Rincon Criollo","Queens, New York","January 16, 2012"
6,"Meat Madness","Tattooed Moose","Charleston, South Carolina","January 16, 2012"
6,"Meat Madness","Falconetti's","Vancouver, British Columbia","January 16, 2012"
7,"Global Traditions","John's of 12th Street","Manhattan, New York","January 23, 2012"
7,"Global Traditions","Mac's Fish & Chip Shop","Santa Barbara, California","January 23, 2012"
8,"Multitaskers","The Early Bird Diner","Charleston, South Carolina","January 30, 2012"
8,"Multitaskers","Boulevard Diner","Dundalk, Maryland","January 30, 2012"
8,"Multitaskers","The Kitchen","Oxnard, California","January 30, 2012"
9,"Family Matters","Sidecar","Brooklyn, New York","February 6, 2012"
9,"Family Matters","Peaceful Restaurant","Vancouver, British Columbia","February 6, 2012"
9,"Family Matters","Flip Flops Grill & Chill","Virginia Beach, Virginia","February 6, 2012"
10,"Old Faves, New Craves","Norton's Pastrami & Deli","Santa Barbara, California","February 13, 2012"
10,"Old Faves, New Craves","Meat & Bread","Vancouver, British Columbia","February 13, 2012"
10,"Old Faves, New Craves","Fuel Cantina","Charleston, South Carolina","February 13, 2012"
11,"Long Standing Legacies","Defonte's Sandwich Shop","Brooklyn, New York","February 20, 2012"
11,"Long Standing Legacies","The Glass Onion","Charleston, South Carolina","February 20, 2012"
11,"Long Standing Legacies","Galway Bay Irish Pub","Annapolis, Maryland","February 20, 2012"
12,"Time Tested Treasures","R&R Taqueria","Elkridge, Maryland","February 27, 2012"
12,"Time Tested Treasures","Nye's Polonaise Room","Minneapolis, Minnesota","February 27, 2012"
12,"Time Tested Treasures","Moseberth's Fried Chicken","Portsmouth, Virginia","February 27, 2012"
13,"Outside the Box","Joe Squared Pizza","Baltimore, Maryland","March 5, 2012"
13,"Outside the Box","Pepe's and Mito's","Dallas, Texas","March 5, 2012"
13,"Outside the Box","Savoy Café & Deli","Santa Barbara, California","March 5, 2012"
1,"Triple D All Stars","Pizzeria Lola","Minneapolis, Minnesota","April 2, 2012"
1,"Triple D All Stars","Monument Cafe","Georgetown, Texas","April 2, 2012"
2,"Streamlined Sammies","Luke's Inside Out","Austin, Texas","April 9, 2012"
2,"Streamlined Sammies","Smack Shack at The 1029 Bar","Minneapolis, Minnesota","April 9, 2012"
2,"Streamlined Sammies","Maple & Motor","Dallas, Texas","April 9, 2012"
3,"Crankin' Up the Classics","Broders' Cucina Italiana","Minneapolis, Minnesota","April 16, 2012"
3,"Crankin' Up the Classics","Chop House Burgers","Arlington, Texas","April 16, 2012"
4,"Passin' The Baton","Pete's Breakfast House","Ventura, California","April 23, 2012"
4,"Passin' The Baton","Sip & Bite Restaurant","Baltimore, Maryland","April 23, 2012"
5,"Big Time Flavor","Marla's Caribbean Cuisine","Minneapolis, Minnesota","April 30, 2012"
5,"Big Time Flavor","Cane Rosso","Dallas, Texas","April 30, 2012"
5,"Big Time Flavor","Counter Cafe","Austin, Texas","April 30, 2012"
6,"Unexpected Eats","Smalley's Caribbean Barbeque","Stillwater, Minnesota","May 7, 2012"
6,"Unexpected Eats","Johnny Garlic's","Santa Rosa, California","May 7, 2012"
6,"Unexpected Eats","Harvey's Hot Dogs II","Portsmouth, Virginia","May 7, 2012"
7,"BBQ Road Show","Pecan Lodge","Dallas, Texas","May 28, 2012"
7,"BBQ Road Show","John Mull's Meats and Road Kill Grill","Las Vegas, Nevada","May 28, 2012"
8,"All Vegas, All the Time","Naked City Pizza","Las Vegas, Nevada","June 4, 2012"
8,"All Vegas, All the Time","Forte European Tapas Bar & Bistro","Las Vegas, Nevada","June 4, 2012"
8,"All Vegas, All the Time","UNLV","Las Vegas, Nevada","June 4, 2012"
9,"Serious Sandwiches","Lola's - A Louisiana Kitchen","Las Vegas, Nevada","June 11, 2012"
9,"Serious Sandwiches","Noble Pig Sandwiches","Austin, Texas","June 11, 2012"
9,"Serious Sandwiches","Casper & Runyon's Nook","St. Paul, Minnesota","June 11, 2012"
10,"International Eats","Bachi Burger","Las Vegas, Nevada","June 18, 2012"
10,"International Eats","Afrah","Richardson, Texas","June 18, 2012"
10,"International Eats","Gazala's Place","Manhattan, New York","June 18, 2012"
11,"Belly Up","Hopleaf Bar","Chicago, Illinois","June 25, 2012"
11,"Belly Up","Foreign & Domestic","Austin, Texas","June 25, 2012"
12,"Dynamic Dishes","Jawaiian Irie Jerk Restaurant","Honolulu, Hawaii","July 2, 2012"
12,"Dynamic Dishes","Taste of Europe","Arlington, Texas","July 2, 2012"
12,"Dynamic Dishes","Yayo Taco","Las Vegas, Nevada","July 2, 2012"
13,"Coast to Coast Chow","Camille's on Wheels","Kailua, Hawaii","July 30, 2012"
13,"Coast to Coast Chow","Chicago Brauhaus","Chicago, Illinois","July 30, 2012"
13,"Coast to Coast Chow","Dixie Supply Bakery & Cafe","Charleston, South Carolina","July 30, 2012"
1,"Unconventional Comforts","He'eia Kea Pier General Store and Deli","Kaneohe, Hawaii","August 5, 2012"
1,"Unconventional Comforts","Rex Italian Foods","Norridge, Illinois","August 5, 2012"
1,"Unconventional Comforts","Memphis Street Cafe","Hernando, Mississippi","August 5, 2012"
2,"Goin' the Extra Mile","bopNgrill","Chicago, Illinois","August 13, 2012"
2,"Goin' the Extra Mile","Sweet Home Waimanalo","Waimanalo, Hawaii","August 13, 2012"
3,"Savory Standouts","90 Miles Cuban Cafe","Chicago, Illinois","August 19, 2012"
3,"Savory Standouts","Davis' Pub","Annapolis, Maryland","August 19, 2012"
4,"Surf 'N' Turf Jackpot","Memphis Barbecue Co.","Horn Lake, Mississippi","August 27, 2012"
4,"Surf 'N' Turf Jackpot","Fresh Catch","Honolulu, Hawaii","August 27, 2012"
5,"Massachusetts Madness","Italian Express Pizzeria","East Boston, Massachusetts","September 3, 2012"
5,"Massachusetts Madness","Cutty's","Brookline, Massachusetts","September 3, 2012"
6,"East Coast Comfort","Tupelo","Cambridge, Massachusetts","September 24, 2012"
6,"East Coast Comfort","Patti's Pierogis","Fall River, Massachusetts","September 24, 2012"
6,"East Coast Comfort","Angelo's Civito Farnese","Providence, Rhode Island","September 24, 2012"
6,"East Coast Comfort","Mediterraneo Caffe","Providence, Rhode Island","September 24, 2012"
7,"Flavortown Medley","South Of Beale (SOB)","Memphis, Tennessee","October 1, 2012"
7,"Flavortown Medley","Big Wave Shrimp Truck","Haleiwa, Hawaii","October 1, 2012"
7,"Flavortown Medley","Chaps Pit Beef","Baltimore, Maryland","October 1, 2012"
8,"Burgers, Noodles and Quahogs","Boston Burger Company","Boston, Massachusetts","October 8, 2012"
8,"Burgers, Noodles and Quahogs","Anthony's Seafood","Middletown, Rhode Island","October 8, 2012"
8,"Burgers, Noodles and Quahogs","Guerilla Street Food","St. Louis, Missouri","October 8, 2012"
9,"Handcrafted","The Elegant Farmer","Mukwonago, Wisconsin","October 15, 2012"
9,"Handcrafted","Italian Corner","East Providence, Rhode Island","October 15, 2012"
10,"All Family, All the Time","Anthonino's Taverna","St. Louis, Missouri","October 22, 2012"
10,"All Family, All the Time","Three Angels Diner","Memphis, Tennessee","October 22, 2012"
10,"All Family, All the Time","Opal Thai Food","Haleiwa, Hawaii","October 22, 2012"
11,"Food Done Right","Aunt Carrie's","Narragansett, Rhode Island","October 29, 2012"
11,"Food Done Right","The Shaved Duck","St. Louis, Missouri","October 29, 2012"
11,"Food Done Right","Angela's Cafe","East Boston, Massachusetts","October 29, 2012"
12,"Pubs and Grub","Dressel's Public House","St. Louis, Missouri","November 5, 2012"
12,"Pubs and Grub","Outer Banks Brewing Station","Kill Devil Hills, North Carolina","November 5, 2012"
12,"Pubs and Grub","Edgewood Cafe","Cranston, Rhode Island","November 5, 2012"
13,"Turn On Traditional","Kitty Hoynes","Syracuse, New York","November 12, 2012"
13,"Turn On Traditional","Espino's Mexican Bar and Grill","Chesterfield, Missouri","November 12, 2012"
13,"Turn On Traditional","Yankee Lobster Company","Boston, Massachusetts","November 12, 2012"
1,"Authentic Eats","Highway 61 Roadhouse and Kitchen","Webster Groves, Missouri","December 10, 2012"
1,"Authentic Eats","Byblos Mediterranean Cafe","Syracuse, New York","December 10, 2012"
2,"Fully Focused","Brine and Bottle","Nags Head, North Carolina","December 17, 2012"
2,"Fully Focused","Pastabilities","Syracuse, New York","December 17, 2012"
3,"Far Out","La Isla Restaurant","Hoboken, New Jersey","December 24, 2012"
3,"Far Out","Funk 'n Waffles","Syracuse, New York","December 24, 2012"
3,"Far Out","Cravings","Duck, North Carolina","December 24, 2012"
4,"Matches Made in Heaven","Ortegaz' Southwestern Grill","Manteo, North Carolina","January 7, 2013"
4,"Matches Made in Heaven","The Smoke Joint","Brooklyn, New York","January 7, 2013"
5,"Savory Sensations","The Weeping Radish","Jarvisburg, North Carolina","January 14, 2013"
5,"Savory Sensations","Jimmy’s Diner","Brooklyn, New York","January 14, 2013"
6,"Hometown Haunts","Marie's Italian Specialties","Chatham, New Jersey","January 21, 2013"
6,"Hometown Haunts","Darby's Cafe","Olympia, Washington","January 21, 2013"
7,"Land to Sea","Empire Brewing Company","Syracuse, New York","February 11, 2013"
7,"Land to Sea","Black Pelican Oceanfront Restaurant","Kitty Hawk, North Carolina","February 11, 2013"
7,"Land to Sea","Fish Tale Brew Pub","Olympia, Washington","February 11, 2013"
8,"Decadent Dishes","Crockett's Public House","Puyallup, Washington","February 18, 2013"
8,"Decadent Dishes","Pies 'N' Thighs","Brooklyn, New York","February 18, 2013"
9,"Eurocentric","Eva's European Sweets","Syracuse, New York","February 24, 2013"
9,"Eurocentric","Bruno's European Restaurant","Tacoma, Washington","February 24, 2013"
9,"Eurocentric","Hey Meatball","Toronto, Ontario, Canada","February 24, 2013"
10,"Hittin' the Grill","Crown Bar","Tacoma, Washington","March 4, 2013"
10,"Hittin' the Grill","The Golden State","Los Angeles, California","March 4, 2013"
11,"Unlikely Partners","Beer Belly","Los Angeles, California","March 11, 2013"
11,"Unlikely Partners","Lakeview Restaurant","Toronto, Ontario, Canada","March 11, 2013"
12,"Layers of Flavor","Tortugas' Lie","Nags Head, North Carolina","March 18, 2013"
12,"Layers of Flavor","The Ace","Toronto, Ontario, Canada","March 18, 2013"
13,"Real Deal Roots","Chomp Chomp Nation","Irvine, California","March 25, 2013"
13,"Real Deal Roots","Caplansky's","Toronto, Ontario, Canada","March 25, 2013"
1,"Tacos and Tots","Dirty Oscar's Annex","Tacoma, Washington","April 22, 2013"
1,"Tacos and Tots","Highland Tavern","Denver, Colorado","April 22, 2013"
2,"Chicken, Chili and Chowder","Sidecar Bar and Grille","Philadelphia, Pennsylvania","April 29, 2013"
2,"Chicken, Chili and Chowder","Chili John's","Burbank, California","April 29, 2013"
2,"Chicken, Chili and Chowder","Stockyards Smokehouse and Larder","Toronto, Ontario, Canada","April 29, 2013"
3,"Dynamic Duos","Atomic Cowboy","Denver, Colorado","May 6, 2013"
3,"Dynamic Duos","Perk Eatery","Scottsdale, Arizona","May 6, 2013"
4,"Traditional Gone Wild","South Philadelphia Tap Room","Philadelphia, Pennsylvania","May 13, 2013"
4,"Traditional Gone Wild","St. Francis","Phoenix, Arizona","May 13, 2013"
5,"Peppers, Pork and Poutine","Barrio Cafe","Phoenix, Arizona","May 20, 2013"
5,"Peppers, Pork and Poutine","Rosedale Diner","Toronto, Ontario, Canada","May 20, 2013"
6,"Kings and Queens of 'Cue","Hops & Pie","Denver, Colorado","May 27, 2013"
6,"Kings and Queens of 'Cue","Bludso's BBQ","Compton, California","May 27, 2013"
6,"Kings and Queens of 'Cue","Percy Street Barbecue","Philadelphia, Pennsylvania","May 27, 2013"
7,"A Festival of Flavor","Standard Tap","Philadelphia, Pennsylvania","June 17, 2013"
7,"A Festival of Flavor","Curry Corner","Tempe, Arizona","June 17, 2013"
7,"A Festival of Flavor","Prohibition","Denver, Colorado","June 17, 2013"
8,"Timeless Traditions","Jamaican Jerk Hut","Philadelphia, Pennsylvania","June 24, 2013"
8,"Timeless Traditions","DeFalco's Italian Eatery, Grocery & Deli","Scottsdale, Arizona","June 24, 2013"
8,"Timeless Traditions","CoraFaye's Café","Denver, Colorado","June 24, 2013"
9,"From Pound Cake to Pot Pie","Geechee Girl Rice Cafe","Philadelphia, Pennsylvania","July 1, 2013"
9,"From Pound Cake to Pot Pie","Haggo's Organic Taco","Leucadia, California","July 1, 2013"
9,"From Pound Cake to Pot Pie","The Duce","Phoenix, Arizona","July 1, 2013"
10,"L.A. Eats","The Park's Finest BBQ","Los Angeles, California","July 8, 2013"
10,"L.A. Eats","Eastside Market Italian Deli","Los Angeles, California","July 8, 2013"
11,"All San Diego, All the Time","Hodad’s","Ocean Beach, California","August 5, 2013"
11,"All San Diego, All the Time","OB Noodle House","Ocean Beach, California","August 5, 2013"
11,"All San Diego, All the Time","Pizzeria Luigi","North Park, California","August 5, 2013"
12,"From the Heart","Shirley’s Tippy Canoe","Troutdale, Oregon","August 12, 2013"
12,"From the Heart","Spirito’s Italian Diner","Carlsbad, California","August 12, 2013"
12,"From the Heart","Nopalito","San Francisco, California","August 12, 2013"
13,"That's Fresh","Pica Pica","San Francisco, California","August 19, 2013"
13,"That's Fresh","Edelweiss Sausage & Delicatessen","Portland, Oregon","August 19, 2013"
1,"Neighborhood Knockouts","Crest Café","San Diego, California","August 26, 2013"
1,"Neighborhood Knockouts","Show Dogs","San Francisco, California","August 26, 2013"
1,"Neighborhood Knockouts","Industrial Café & Saloon","Portland, Oregon","August 26, 2013"
2,"Meat Lover’s Paradise","The Refuge","San Carlos, California","September 2, 2013"
2,"Meat Lover’s Paradise","The Country Cat","Portland, Oregon","September 2, 2013"
3,"Servin’ Up San Francisco","Miller’s East Coast Deli","San Francisco, California","September 9, 2013"
3,"Servin’ Up San Francisco","Koja Kitchen Food Truck","San Francisco, California","September 9, 2013"
3,"Servin’ Up San Francisco","The Front Porch","San Francisco, California","September 9, 2013"
4,"Cannoli, Fritters and Wings","Senor Sisig Food Truck","San Francisco, California","September 16, 2013"
4,"Cannoli, Fritters and Wings","A Taste of Home Cooking","Wheat Ridge, Colorado","September 16, 2013"
4,"Cannoli, Fritters and Wings","PDX671 Food Trailer","Portland, Oregon","September 16, 2013"
